Material;Kinematic viscosity;Dynamic viscosity (Pa.s);Iteration;factor (fixed);Iteration (fixed);factor;Visual effect
oil;0,0648;0,081;1;30;35;2;Flat
foam;0,1;0,8;1;120;35;5;Dome
gel;1;1,25;2;120;35;25;Instablity
toothpast;10;12,5;12;120;35;60;Coiling
liquid rubber;100;125;40;120;35;120;Extrusion
;1000;1250;;;;;
Rho;;;;;;;
1,25;;;;;;;
;;;;;;;
;;;;5;0,1;;
;;1;;30;1;;
;;;;45;5;;
;;;;100;35;;
;;;;180;120;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Material;Kinematic viscosity;Dynamic viscosity (Pa.s);Iteration;factor (fixed);Iteration (fixed);factor;Visual effect
oil;0;0,081;1;30;35;2;Flat
foam;0,01;0,2;1;120;35;5;Dome
gel;0,1;7,5;2;120;35;25;Instablity
toothpast;1;70;12;120;35;60;Coiling
liquid rubber;10;100;40;120;35;120;Extrusion
;;;;;;;
;;;;;;;
;35;;;;;;
;XPSH;Pa.s;;;;;
;5;0,2;;;;;
;10;;;;;;
;15;;;;;;
;20;;;;;;
;25;;;;;;
;30;;;;;;
;35;;;;;;
;40;;;;;;
;45;;;;;;
;50;;;;;;
;55;;;;;;
;60;;;;;;
;65;;;;;;
;70;;;;;;
;75;;;;;;
;80;;;;;;
;85;;;;;;
;90;;;;;;
;;;;;;;
;18;;;;;;
